respondent_id,case_id,model,soundness,completeness,trusted
R01,C01,qwen_zs,4,2,0
R01,C01,claude_sonnet_4_5_teacher,4,2,0
R01,C01,flexpension_llm,4,4,1
R01,C02,qwen_zs,4,4,0
R01,C02,claude_sonnet_4_5_teacher,4,4,0
R01,C02,flexpension_llm,4,4,1
R01,C03,qwen_zs,4,2,0
R01,C03,claude_sonnet_4_5_teacher,4,2,1
R01,C03,flexpension_llm,4,2,0
R01,C04,qwen_zs,2,2,0
R01,C04,claude_sonnet_4_5_teacher,2,2,0
R01,C04,flexpension_llm,4,4,1
R01,C05,qwen_zs,2,2,0
R01,C05,claude_sonnet_4_5_teacher,2,2,0
R01,C05,flexpension_llm,4,4,1
R01,C06,qwen_zs,2,1,0
R01,C06,claude_sonnet_4_5_teacher,2,2,0
R01,C06,flexpension_llm,4,4,1
R01,C07,qwen_zs,4,2,0
R01,C07,claude_sonnet_4_5_teacher,4,4,1
R01,C07,flexpension_llm,3,2,0
R01,C08,qwen_zs,3,2,0
R01,C08,claude_sonnet_4_5_teacher,4,4,1
R01,C08,flexpension_llm,3,2,0
R01,C09,qwen_zs,2,2,0
R01,C09,claude_sonnet_4_5_teacher,4,4,1
R01,C09,flexpension_llm,4,4,0
R01,C10,qwen_zs,1,1,0
R01,C10,claude_sonnet_4_5_teacher,4,4,1
R01,C10,flexpension_llm,4,4,0
R01,C11,qwen_zs,4,4,0
R01,C11,claude_sonnet_4_5_teacher,4,4,1
R01,C11,flexpension_llm,3,2,0
R01,C12,qwen_zs,2,2,0
R01,C12,claude_sonnet_4_5_teacher,3,4,1
R01,C12,flexpension_llm,3,4,0
R02,C01,qwen_zs,4,3,0
R02,C01,claude_sonnet_4_5_teacher,4,4,0
R02,C01,flexpension_llm,4,4,1
R02,C02,qwen_zs,4,3,0
R02,C02,claude_sonnet_4_5_teacher,4,4,1
R02,C02,flexpension_llm,4,4,0
R02,C03,qwen_zs,4,3,0
R02,C03,claude_sonnet_4_5_teacher,3,4,0
R02,C03,flexpension_llm,4,5,1
R02,C04,qwen_zs,2,2,0
R02,C04,claude_sonnet_4_5_teacher,2,2,0
R02,C04,flexpension_llm,4,4,1
R02,C05,qwen_zs,3,4,0
R02,C05,claude_sonnet_4_5_teacher,4,4,0
R02,C05,flexpension_llm,5,4,1
R02,C06,qwen_zs,2,1,0
R02,C06,claude_sonnet_4_5_teacher,2,2,0
R02,C06,flexpension_llm,4,4,1
R02,C07,qwen_zs,3,2,0
R02,C07,claude_sonnet_4_5_teacher,2,4,0
R02,C07,flexpension_llm,4,4,1
R02,C08,qwen_zs,4,4,0
R02,C08,claude_sonnet_4_5_teacher,4,4,1
R02,C08,flexpension_llm,2,4,0
R02,C09,qwen_zs,4,4,0
R02,C09,claude_sonnet_4_5_teacher,4,4,1
R02,C09,flexpension_llm,3,2,0
R02,C10,qwen_zs,2,1,0
R02,C10,claude_sonnet_4_5_teacher,4,4,1
R02,C10,flexpension_llm,4,4,0
R02,C11,qwen_zs,4,5,0
R02,C11,claude_sonnet_4_5_teacher,4,4,0
R02,C11,flexpension_llm,4,4,1
R02,C12,qwen_zs,4,4,0
R02,C12,claude_sonnet_4_5_teacher,4,4,1
R02,C12,flexpension_llm,4,4,0
R03,C01,qwen_zs,4,4,1
R03,C01,claude_sonnet_4_5_teacher,3,3,0
R03,C01,flexpension_llm,3,3,0
R03,C02,qwen_zs,4,4,0
R03,C02,claude_sonnet_4_5_teacher,4,4,0
R03,C02,flexpension_llm,5,4,1
R03,C03,qwen_zs,4,4,0
R03,C03,claude_sonnet_4_5_teacher,4,4,1
R03,C03,flexpension_llm,3,4,0
R03,C04,qwen_zs,4,5,0
R03,C04,claude_sonnet_4_5_teacher,3,3,0
